Date,BTC-USD,ETH-USD,LTC-USD
2019-10-14,8374.6865234375,186.96090698242188,56.97540283203125
2019-10-15,8205.369140625,181.40606689453125,54.94420623779297
2019-10-16,8047.52685546875,176.0135040283203,52.9231071472168
2019-10-17,8103.9111328125,178.02835083007812,54.88447570800781
2019-10-18,7973.20751953125,173.621337890625,53.49169158935547
2019-10-19,7988.560546875,172.91302490234375,54.03457260131836
2019-10-20,8222.078125,175.5343780517578,54.93437957763672
2019-10-21,8243.720703125,174.92098999023438,54.93829727172852
2019-10-22,8078.203125,172.3008575439453,53.744361877441406
2019-10-23,7514.671875,162.4027862548828,49.62795639038086
2019-10-24,7493.48876953125,162.16854858398438,50.067665100097656
2019-10-25,8660.7001953125,181.5232086181641,56.93901062011719
2019-10-26,9244.97265625,179.83547973632812,56.77525329589844
2019-10-27,9551.71484375,184.24221801757807,59.91399002075195
2019-10-28,9256.1484375,182.66281127929688,58.12683868408203
2019-10-29,9427.6875,190.3425750732422,59.869625091552734
2019-10-30,9205.7265625,184.69216918945312,58.42097091674805
2019-10-31,9199.5849609375,183.9669189453125,58.78068542480469
2019-11-01,9261.1044921875,183.9698944091797,58.58364486694336
2019-11-02,9324.7177734375,183.92572021484372,58.59702682495117
2019-11-03,9235.3544921875,182.42501831054688,58.62519073486328
2019-11-04,9412.6123046875,186.35519409179688,61.573055267333984
2019-11-05,9342.52734375,189.30416870117188,63.302764892578125
2019-11-06,9360.8798828125,191.5938415527344,64.26874542236328
2019-11-07,9267.5615234375,187.9765472412109,61.843223571777344
2019-11-08,8804.880859375,184.2114715576172,60.5299186706543
2019-11-09,8813.58203125,185.0287170410156,61.9547119140625
2019-11-10,9055.5263671875,189.47727966308597,63.84146499633789
2019-11-11,8757.7880859375,185.48963928222656,61.89910888671875
2019-11-12,8815.662109375,186.84341430664065,61.34029769897461
2019-11-13,8808.2626953125,188.2587432861328,61.11134719848633
2019-11-14,8708.0947265625,185.9996337890625,59.42989349365234
2019-11-15,8491.9921875,180.52117919921875,57.811710357666016
2019-11-16,8550.7607421875,183.34835815429688,58.56543731689453
2019-11-17,8577.9755859375,185.1192321777344,59.57322692871094
2019-11-18,8309.2861328125,180.55960083007807,56.80094909667969
2019-11-19,8206.1455078125,177.45555114746094,55.623985290527344
2019-11-20,8027.26806640625,175.69834899902344,55.290924072265625
2019-11-21,7642.75,161.4627227783203,50.88305282592773
2019-11-22,7296.57763671875,150.26817321777344,47.615535736083984
2019-11-23,7397.796875,153.41778564453125,48.70648956298828
2019-11-24,7047.9169921875,142.83470153808594,44.73422622680664
2019-11-25,7146.1337890625,146.47653198242188,45.83033752441406
2019-11-26,7218.37109375,148.96507263183594,47.27334213256836
2019-11-27,7531.66357421875,153.01055908203125,48.00880432128906
2019-11-28,7463.10595703125,151.7175750732422,47.05694961547852
2019-11-29,7761.24365234375,155.3041534423828,48.87915802001953
2019-11-30,7569.6298828125,152.53968811035156,47.47542953491211
2019-12-01,7424.29248046875,151.18572998046875,47.7111701965332
2019-12-02,7321.98828125,149.0591583251953,45.8170166015625
2019-12-03,7320.1455078125,147.9564208984375,45.3816032409668
2019-12-04,7252.03466796875,146.74774169921875,45.19295120239258
2019-12-05,7448.3076171875,149.24899291992188,45.301639556884766
2019-12-06,7546.99658203125,149.19444274902344,45.67012023925781
2019-12-07,7556.23779296875,148.76815795898438,45.6404914855957
2019-12-08,7564.34521484375,151.2647247314453,45.95294570922852
2019-12-09,7400.8994140625,148.2251739501953,44.93924331665039
2019-12-10,7278.11962890625,146.2670440673828,44.64424133300781
2019-12-11,7217.42724609375,143.60800170898438,43.94569778442383
2019-12-12,7243.13427734375,145.60400390625,44.08216857910156
2019-12-13,7269.6845703125,144.9447479248047,44.45058059692383
2019-12-14,7124.673828125,142.86923217773438,43.72218704223633
2019-12-15,7152.3017578125,143.114990234375,43.75682830810547
2019-12-16,6932.48046875,133.61402893066406,40.37425994873047
2019-12-17,6640.51513671875,122.60388946533205,37.08342742919922
2019-12-18,7276.802734375,133.09219360351562,40.77854537963867
2019-12-19,7202.84423828125,129.32113647460938,39.92029571533203
2019-12-20,7218.81640625,129.06605529785156,40.290157318115234
2019-12-21,7191.15869140625,128.13095092773438,39.996829986572266
2019-12-22,7511.5888671875,132.3725128173828,41.96519088745117
2019-12-23,7355.62841796875,128.6140899658203,40.84747314453125
2019-12-24,7322.5322265625,129.0638885498047,40.678016662597656
2019-12-25,7275.15576171875,126.4546356201172,40.62956237792969
2019-12-26,7238.966796875,126.36122131347656,40.26603698730469
2019-12-27,7290.08837890625,127.21460723876952,41.17817306518555
2019-12-28,7317.990234375,128.3227081298828,42.84252166748047
2019-12-29,7422.65283203125,134.7579803466797,43.670658111572266
2019-12-30,7292.9951171875,132.63348388671875,42.747337341308594
2019-12-31,7193.59912109375,129.61085510253906,41.34007263183594
2020-01-01,7200.17431640625,130.802001953125,42.01771926879883
2020-01-02,6985.47021484375,127.4101791381836,39.82301330566406
2020-01-03,7344.88427734375,134.1717071533203,42.41557312011719
2020-01-04,7410.65673828125,135.06936645507812,43.32660675048828
